ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
CYWP,medium_airport,Webequie Airport,685,NA,CA,CA-ON,Webequie,CYWP,YWP,,"-87.3748683929, 52.9593933975"
CYWV,small_airport,Wainwright Airport,2230,NA,CA,CA-AB,Wainwright,CYWV,,,"-110.85700225830078, 52.795799255371094"
CYWY,medium_airport,Wrigley Airport,489,NA,CA,CA-NT,Wrigley,CYWY,YWY,,"-123.43699645996094, 63.20940017700195"
CYXC,medium_airport,Cranbrook/Canadian Rockies International Airport,3082,NA,CA,CA-BC,Cranbrook,CYXC,YXC,,"-115.78199768066, 49.610801696777"
CYXD,closed,Edmonton City Centre (Blatchford Field) Airport,2202,NA,CA,CA-AB,Edmonton,CYXD,YXD,CYXD,"-113.521003723, 53.5724983215"
CYXE,medium_airport,Saskatoon John G. Diefenbaker International Airport,1653,NA,CA,CA-SK,Saskatoon,CYXE,YXE,,"-106.69999694824219, 52.170799255371094"
CYXH,medium_airport,Medicine Hat Airport,2352,NA,CA,CA-AB,Medicine Hat,CYXH,YXH,,"-110.72100067138672, 50.01890182495117"
CYXI,closed,Bonnechere Airport,595,NA,CA,CA-ON,Killaloe,CYXI,YXI,,"-77.60279846191406, 45.66310119628906"
CYXJ,medium_airport,Fort St John Airport,2280,NA,CA,CA-BC,Fort St.John,CYXJ,YXJ,,"-120.739998, 56.238098"
CYXK,medium_airport,Rimouski Airport,82,NA,CA,CA-QC,Rimouski,CYXK,YXK,,"-68.49690246582031, 48.47809982299805"
CYXL,medium_airport,Sioux Lookout Airport,1258,NA,CA,CA-ON,Sioux Lookout,CYXL,YXL,,"-91.9052963256836, 50.11389923095703"
CYXN,medium_airport,Whale Cove Airport,40,NA,CA,CA-NU,Whale Cove,CYXN,YXN,,"-92.59809875490001, 62.24000167849999"
CYXP,medium_airport,Pangnirtung Airport,75,NA,CA,CA-NU,Pangnirtung,CYXP,YXP,,"-65.71360015869999, 66.1449966431"
CYXQ,medium_airport,Beaver Creek Airport,2131,NA,CA,CA-YT,Beaver Creek,CYXQ,YXQ,,"-140.86700439453125, 62.410301208496094"
CYXR,medium_airport,Earlton (Timiskaming Regional) Airport,800,NA,CA,CA-ON,Earlton,CYXR,YXR,,"-79.8473453522, 47.697400654599996"
CYXS,medium_airport,Prince George Airport,2267,NA,CA,CA-BC,Prince George,CYXS,YXS,,"-122.679000854, 53.8894004822"
CYXT,medium_airport,Northwest Regional Airport Terrace-Kitimat,713,NA,CA,CA-BC,Terrace,CYXT,YXT,,"-128.576009, 54.468498"
CYXU,medium_airport,London Airport,912,NA,CA,CA-ON,London,CYXU,YXU,,"-81.1539, 43.035599"
CYXX,medium_airport,Abbotsford Airport,195,NA,CA,CA-BC,Abbotsford,CYXX,YXX,,"-122.36100006103516, 49.025299072265625"
CYXY,medium_airport,Whitehorse / Erik Nielsen International Airport,2317,NA,CA,CA-YT,Whitehorse,CYXY,YXY,,"-135.067001343, 60.7095985413"
CYXZ,medium_airport,Wawa Airport,942,NA,CA,CA-ON,Wawa,CYXZ,YXZ,,"-84.78669738769531, 47.96670150756836"
CYYB,medium_airport,North Bay Jack Garland Airport,1215,NA,CA,CA-ON,North Bay,CYYB,YYB,,"-79.422798, 46.363602"
CYYC,large_airport,Calgary International Airport,3557,NA,CA,CA-AB,Calgary,CYYC,YYC,,"-114.019996643, 51.113899231"
CYYD,medium_airport,Smithers Airport,1712,NA,CA,CA-BC,Smithers,CYYD,YYD,,"-127.18299865722656, 54.82469940185547"
CYYE,medium_airport,Fort Nelson Airport,1253,NA,CA,CA-BC,Fort Nelson,CYYE,YYE,,"-122.597000122, 58.8363990784"
CYYF,medium_airport,Penticton Airport,1129,NA,CA,CA-BC,Penticton,CYYF,YYF,,"-119.60199737548828, 49.46310043334961"
CYYG,medium_airport,Charlottetown Airport,160,NA,CA,CA-PE,Charlottetown,CYYG,YYG,,"-63.12110137939453, 46.290000915527344"
CYYH,medium_airport,Taloyoak Airport,92,NA,CA,CA-NU,Taloyoak,CYYH,YYH,,"-93.576698, 69.5467"
CYYJ,large_airport,Victoria International Airport,63,NA,CA,CA-BC,Victoria,CYYJ,YYJ,,"-123.426002502, 48.646900177"
